Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00846772471037409,0.0484690867101083,-0.03567044294992,0,0,0,2.18791638334654,0.0291212751561935,-2.11870933770062E-06,1.80015877159372E-05,0.0857689541865674,-0.00258322924751672,0.0954185860191171,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,,Bottom_Plate_lw_nf3t-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
back_plate_link,-2.08166817117217E-16,-0.00457912600874111,0,0,0,0,0.338174762191649,0.00155060309536319,1.52579982064103E-18,2.20092133798354E-20,0.00737913152467543,-1.14631573205113E-20,0.00892922735789533,0,0,0,0,0,0,package://urdf/meshes/back_plate_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/back_plate_link.STL,,Back_Plate-1,Origin_back_plate_joint,Axis_back_plate_joint,back_plate_joint,fixed,0.00835279108667919,-0.143960536689433,-0.00575724980224864,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
fixor_top_left_link,-0.0045268734633552,0.0934899219881039,-0.264526557645859,0,0,0,0.170127773302122,0.000573340433742727,6.87456187899923E-06,7.47281195431743E-06,3.14349021887756E-05,6.87431476230744E-06,0.000573339610546684,0,0,0,0,0,0,package://urdf/meshes/fixor_top_left_link.STL,0,0,0,1,0,0,0,0,0,0,package://urdf/meshes/fixor_top_left_link.STL,,Fixor-3,Origin_fixor_joint,Axis_fixor_top_left_joint,fixor_top_left_joint,fixed,-0.221647208913322,-0.130960536689432,-0.105757249802249,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
fixor_back_left_link,-0.0045268734633552,0.0934899219881039,0.00452655764586138,0,0,0,0.170127773302122,0.000573340433742727,6.87456187899922E-06,-7.47281195431743E-06,3.14349021887756E-05,-6.87431476230745E-06,0.000573339610546684,0,0,0,0,0,0,package://urdf/meshes/fixor_back_left_link.STL,0,0,0,1,0,0,0,0,0,0,package://urdf/meshes/fixor_back_left_link.STL,,Fixor-2,Origin_fixor_back_left_joint,Axis_fixor_back_left_joint,fixor_back_left_joint,fixed,-0.221647208913322,-0.130960536689432,-0.105757249802249,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
fixor_top_right_link,-0.00452687346335517,0.0934899219881039,0.00452655764586138,0,0,0,0.170127773302122,0.000573340433742726,6.87456187899921E-06,-7.47281195431741E-06,3.14349021887756E-05,-6.87431476230745E-06,0.000573339610546684,0,0,0,0,0,0,package://urdf/meshes/fixor_top_right_link.STL,0,0,0,1,0,0,0,0,0,0,package://urdf/meshes/fixor_top_right_link.STL,,Fixor-5,Origin_fixor_top_right_joint,Axis_fixor_top_right_joint,fixor_top_right_joint,fixed,0.23835279108668,0.129039463310565,-0.105757249802249,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
fixor_back_right_link,-0.00452687346335517,0.0934899219881039,-0.00452655764586138,0,0,0,0.170127773302122,0.000573340433742727,6.87456187899922E-06,7.47281195431742E-06,3.14349021887756E-05,6.87431476230746E-06,0.000573339610546684,0,0,0,0,0,0,package://urdf/meshes/fixor_back_right_link.STL,0,0,0,1,0,0,0,0,0,0,package://urdf/meshes/fixor_back_right_link.STL,,Fixor-4,Origin_fixor_back_right_joint,Axis_fixor_back_right_joint,fixor_back_right_joint,fixed,0.23835279108668,-0.130960536689432,-0.105757249802249,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
mid_plate_link,-0.00164538615385987,-0.00225724980224867,-0.00911338234070611,0,0,0,0.885692876152529,0.0055851569663054,-1.74392893865627E-21,-1.15382551210891E-07,0.0238956856714344,4.93507661793824E-21,0.0183118572444433,0,0,0,0,0,0,package://urdf/meshes/mid_plate_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/mid_plate_link.STL,,Mid_Plate-1,Origin_mid_plate_joint,Axis_mid_plate_joint,mid_plate_joint,fixed,0.01,0,0,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
dunno_left_link,8.32667268468867E-17,0.00506144799893879,-0.000241807167000199,0,0,0,0.104682816808477,8.34861768211577E-05,3.71477040033479E-22,1.38410933682922E-20,0.00016641673788092,-1.85325542540548E-08,8.47038245553949E-05,0,0,0,0,0,0,package://urdf/meshes/dunno_left_link.STL,0.196078431372549,0,0.196078431372549,1,0,0,0,0,0,0,package://urdf/meshes/dunno_left_link.STL,,Dunno-1,Origin_dunno_joint,Axis_dunno_left_joint,dunno_left_joint,fixed,-0.171647208913322,-0.000757249802248674,-0.0161799664624075,0,0,0,mid_plate_link,0,0,0,,,,,,,,,,,,
dunno2_left_link,-1.11022302462516E-16,-0.00741844415061881,4.16333634234434E-17,0,0,0,0.108723964070417,8.49055002057129E-05,-7.04107851841703E-23,4.2351647362715E-22,0.000167970170747351,2.81927787305982E-22,8.49055002057129E-05,0,0,0,0,0,0,package://urdf/meshes/dunno2_left_link.STL,0.501960784313725,0,0.501960784313725,1,0,0,0,0,0,0,package://urdf/meshes/dunno2_left_link.STL,,Dunno 2-1,Origin_dunno2_joint,Axis_dunno2_joint,dunno2_left_joint,revolute,0,-0.00342,0,0,-0.021547,0,dunno_left_link,0,1,0,0,0,0,6.283,,,,,,,,
motor_chasiss_left_link,-0.0128848549293891,-0.0269711955666296,0.0211552665578679,0,0,0,0.122322077396445,0.000164362561825281,-2.4570887720361E-05,-6.00279172604827E-06,0.000169274602144088,3.0605936793252E-05,0.000191947787654957,0,0,0,0,0,0,package://urdf/meshes/motor_chasiss_left_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf/meshes/motor_chasiss_left_link.STL,,Motor_Chasiss_Left-2,Origin_motor_chasiss_left_joint,,motor_chasiss_left_joint,fixed,0,-0.0123,0,0,0,0,dunno2_left_link,0,0,0,,,,,,,,,,,,
